user_id,country,gender,creation_time,age_group
10986,SE,m,2007,25-34
11101,DE,m,2007,18-24
11297,BR,m,2007,25-34
11363,SE,f,2007,25-34
11499,BR,m,2007,18-24
11934,US,m,2007,18-24
12157,PL,m,2007,35-44
12334,PL,m,2007,25-34
12569,RU,m,2007,18-24
12783,DE,m,2007,18-24
12864,BR,m,2007,18-24
12874,UK,m,2007,18-24
12922,BR,m,2007,45+
12941,PL,m,2007,18-24
13485,NL,m,2007,25-34
13541,PL,m,2007,0-17
13544,PL,m,2007,18-24
13553,US,m,2007,25-34
13603,SE,m,2007,18-24
13647,US,m,2007,18-24
13676,UK,m,2007,35-44
13955,RU,m,2007,18-24
14097,UA,m,2007,25-34
14261,PL,m,2007,25-34
14341,US,m,2007,25-34
14411,FI,m,2007,25-34
14413,SE,m,2007,25-34
14441,BR,m,2007,25-34
14492,PL,m,2007,25-34
14903,UA,m,2007,18-24
15015,PL,f,2007,18-24
15095,NL,m,2007,35-44
15101,PL,m,2007,18-24
15126,SE,m,2007,0-17
15133,US,m,2007,45+
15156,PL,m,2007,25-34
15220,UA,m,2007,25-34
15301,FI,f,2007,25-34
15369,RU,m,2007,35-44
15717,BR,m,2007,18-24
15787,UK,m,2007,25-34
15841,UA,m,2007,25-34
15858,NL,m,2007,18-24
16026,DE,m,2007,45+
16066,BR,m,2007,18-24
16071,US,f,2007,18-24
16077,US,m,2007,25-34
16115,PL,f,2007,18-24
16205,PL,m,2007,18-24
16224,DE,m,2007,18-24
16289,UA,m,2007,25-34
16394,DE,m,2007,25-34
16767,DE,f,2007,25-34
16856,FI,m,2007,18-24
16916,PL,m,2007,35-44
17297,PL,m,2007,35-44
17441,SE,f,2007,18-24
17573,PL,m,2007,18-24
17628,US,f,2007,18-24
17686,DE,m,2008,18-24
17691,NL,m,2008,35-44
17761,US,m,2008,45+
17770,PL,f,2008,18-24
18308,US,m,2008,18-24
18531,UK,m,2008,18-24
18572,BR,f,2008,18-24
18668,UK,m,2008,18-24
18795,RU,m,2008,18-24
18852,DE,f,2008,18-24
18902,US,m,2008,18-24
19423,NL,m,2008,18-24
19510,FI,m,2008,35-44
19652,NL,m,2008,25-34
19707,DE,m,2008,45+
19742,DE,m,2008,18-24
19771,PL,m,2008,18-24
19944,NL,m,2008,45+
19971,FI,m,2008,18-24
20029,BR,m,2008,25-34
20102,PL,m,2008,18-24
20185,US,m,2008,18-24
20287,PL,m,2008,18-24
20485,SE,m,2008,25-34
20751,BR,m,2008,18-24
20753,US,m,2008,18-24
20796,UK,m,2008,18-24
21011,DE,m,2008,18-24
21049,US,m,2008,18-24
21110,US,f,2008,25-34
21133,PL,m,2008,25-34
21160,US,m,2008,18-24
21173,RU,m,2008,25-34
21293,US,f,2008,25-34
21533,PL,m,2008,18-24
21726,DE,m,2008,18-24
21769,NL,m,2008,18-24
21848,US,f,2008,25-34
22099,UA,m,2008,18-24
22122,PL,m,2008,25-34
22214,PL,m,2008,18-24
22273,US,m,2008,18-24
22308,UA,m,2008,18-24
22360,US,m,2008,35-44
22475,NL,m,2008,18-24
22524,DE,m,2008,25-34
22836,UK,m,2008,25-34
23278,BR,m,2008,18-24
23281,BR,m,2008,18-24
23563,DE,m,2008,25-34
23719,US,m,2008,25-34
23882,BR,m,2008,25-34
23980,RU,m,2008,25-34
23997,UK,m,2008,18-24
24329,US,m,2008,18-24
24441,PL,m,2008,18-24
24549,UK,m,2008,25-34
24667,UK,m,2008,18-24
24877,RU,m,2008,18-24
24988,RU,f,2008,18-24
25006,PL,m,2008,18-24
25011,BR,m,2008,25-34
25123,US,m,2008,18-24
25166,DE,m,2008,25-34
25389,UK,m,2008,18-24
25468,BR,m,2008,18-24
25673,RU,m,2008,18-24
25693,NL,m,2008,25-34
25719,DE,f,2008,35-44
25720,BR,m,2008,25-34
25901,BR,f,2008,0-17
26054,US,m,2008,25-34
26132,RU,m,2008,18-24
26484,US,m,2008,25-34
26561,US,m,2008,35-44
26617,BR,f,2008,18-24
26625,PL,m,2008,25-34
26734,DE,m,2008,18-24
27054,BR,m,2008,18-24
27091,UA,f,2008,18-24
27180,PL,m,2008,0-17
27775,UA,m,2008,45+
27960,UK,m,2008,35-44
28041,PL,m,2008,18-24
28247,PL,m,2008,18-24
28360,UK,m,2008,35-44
28427,PL,m,2008,25-34
28477,SE,m,2008,18-24
28519,UA,m,2009,25-34
28549,US,m,2009,18-24
28609,RU,m,2009,18-24
28648,UA,m,2009,18-24
29224,NL,m,2009,18-24
29429,DE,f,2009,18-24
29496,UK,m,2009,25-34
29622,UK,m,2009,25-34
29990,PL,m,2009,45+
30324,BR,m,2009,18-24
30525,PL,m,2009,18-24
30823,DE,m,2009,45+
30826,PL,m,2009,25-34
31365,RU,m,2009,18-24
31476,US,f,2009,18-24
31656,DE,m,2009,18-24
31804,RU,m,2009,18-24
32196,DE,m,2009,45+
32683,US,m,2009,0-17
32717,RU,m,2009,25-34
32936,BR,m,2009,18-24
33017,RU,m,2009,25-34
33255,UK,m,2009,18-24
33514,UK,m,2009,18-24
33697,UK,m,2009,18-24
33738,US,m,2009,18-24
33893,RU,m,2009,18-24
34178,NL,m,2009,18-24
34255,BR,m,2009,18-24
35118,UA,m,2009,0-17
35131,RU,m,2009,18-24
35583,UK,m,2009,18-24
35778,BR,m,2009,0-17
36307,UK,m,2009,25-34
36369,UK,m,2009,25-34
36429,PL,m,2009,18-24
36561,US,m,2009,18-24
36937,RU,m,2009,18-24
37095,UK,m,2009,45+
37888,DE,m,2009,18-24
37988,US,m,2009,18-24
38281,UK,m,2009,45+
38301,DE,m,2009,35-44
38331,UA,m,2009,25-34
38702,BR,f,2009,18-24
38866,RU,m,2009,18-24
39056,DE,m,2009,35-44
39127,US,f,2009,18-24
39514,US,m,2009,18-24
39926,US,m,2009,25-34
40037,DE,m,2009,18-24
40236,BR,m,2009,0-17
41299,RU,m,2009,25-34
41663,PL,m,2009,18-24
42035,PL,m,2009,18-24
42218,RU,m,2009,18-24
42278,US,f,2009,45+
42530,RU,m,2009,18-24
42842,NL,m,2009,25-34
42854,PL,m,2009,0-17
43358,BR,f,2009,18-24
44079,US,m,2010,25-34
44640,UK,m,2010,25-34
44706,BR,m,2010,18-24
44710,PL,m,2010,18-24
45446,FI,m,2010,18-24
45488,US,m,2010,18-24
45574,US,m,2010,18-24
45611,BR,f,2010,25-34
45676,DE,m,2010,18-24
45988,RU,m,2010,18-24
46676,DE,m,2010,25-34
46810,BR,f,2010,0-17
46966,DE,m,2010,18-24
47271,RU,m,2010,18-24
47336,BR,m,2010,25-34
47350,FI,m,2010,18-24
47496,US,f,2010,18-24
47930,UK,m,2010,25-34
48301,RU,m,2010,18-24
48787,PL,f,2010,0-17
48823,US,m,2010,18-24
48873,SE,m,2010,18-24
48960,BR,m,2010,18-24
49030,RU,m,2010,18-24
49526,DE,m,2010,0-17
49790,UK,m,2010,18-24
49986,DE,m,2010,18-24
50043,UK,m,2010,18-24
50376,FI,m,2010,25-34
50960,BR,m,2010,18-24
51040,RU,m,2010,18-24
51735,BR,m,2010,18-24
51849,BR,m,2010,18-24
51983,PL,m,2010,18-24
51988,UA,m,2010,18-24
52233,SE,f,2010,18-24
52797,RU,m,2010,0-17
52838,FI,m,2010,0-17
53493,UK,m,2010,18-24
54404,RU,m,2010,18-24
54670,DE,m,2010,18-24
55077,BR,f,2010,0-17
55090,NL,f,2010,18-24
55651,RU,m,2010,18-24
55686,PL,m,2010,18-24
56071,BR,m,2010,18-24
56168,BR,m,2010,0-17
57148,DE,m,2010,18-24
57652,NL,m,2010,18-24
57794,PL,f,2010,0-17
57859,RU,m,2010,25-34
60231,RU,m,2011,18-24
60352,UA,m,2011,18-24
60383,BR,m,2011,25-34
60413,DE,m,2011,25-34
60517,UK,m,2011,0-17
61747,RU,m,2011,25-34
62613,PL,f,2011,0-17
62690,PL,m,2011,25-34
62873,UK,m,2011,18-24
63109,UA,m,2011,25-34
63235,RU,f,2011,18-24
63883,PL,m,2011,0-17
63941,RU,m,2011,18-24
64040,RU,m,2011,25-34
65796,RU,m,2011,0-17
66044,UK,m,2011,25-34
66172,US,m,2011,18-24
66281,US,f,2011,25-34
66752,FI,m,2011,0-17
66773,UK,f,2011,0-17
66882,BR,m,2011,0-17
66931,US,m,2011,35-44
67080,PL,m,2011,18-24
67290,US,f,2011,18-24
67382,BR,m,2011,0-17
67640,DE,m,2011,25-34
68012,BR,m,2011,0-17
68396,UK,m,2011,25-34
69342,RU,m,2011,18-24
69804,UK,m,2011,18-24
71440,NL,m,2011,25-34
71990,US,m,2011,18-24
72104,BR,m,2011,18-24
72149,US,m,2011,18-24
72283,US,m,2011,18-24
72622,US,m,2011,18-24
72866,DE,m,2011,0-17
73531,BR,f,2011,0-17
73910,PL,m,2011,18-24
75006,DE,m,2011,18-24
75142,PL,m,2011,25-34
75364,DE,m,2011,0-17
75731,BR,m,2011,0-17
75787,UA,m,2011,18-24
78512,BR,m,2011,0-17
81484,PL,m,2011,18-24
83571,US,m,2012,18-24
83941,DE,m,2012,18-24
89956,DE,m,2012,18-24
91418,BR,m,2012,0-17
96919,RU,m,2012,18-24
101490,BR,m,2012,18-24
103958,BR,f,2012,0-17
104742,US,m,2012,18-24
106477,BR,m,2012,0-17
109905,BR,m,2012,0-17
110087,BR,f,2012,18-24
110872,UK,m,2012,25-34
111719,SE,m,2012,18-24
113099,FI,m,2012,0-17
113599,US,m,2012,18-24
116343,BR,m,2012,18-24
118479,UA,m,2012,18-24
118940,UA,m,2012,18-24
